scheme_name,description
PMEGP,Prime Minister's Employment Generation Programme for micro enterprises in manufacturing and service sectors
MUDRA,Micro Units Development and Refinance Agency providing loans to small businesses
Stand Up India,Facilitating bank loans to at least one SC/ST borrower and one woman borrower per bank branch
ASPIRE,Promoting innovation rural entrepreneurship and agro-industry
PMFME,Prime Minister's Formalisation of Micro Food Processing Enterprises scheme
PMKSY,Prime Minister's Krishi Sinchayee Yojana for irrigation and water management
PMGSY,Pradhan Mantri Gram Sadak Yojana for rural road connectivity
PMGKY,Pradhan Mantri Garib Kalyan Yojana for financial inclusion
PMJDY,Pradhan Mantri Jan Dhan Yojana for universal banking access
PMFBY,Pradhan Mantri Fasal Bima Yojana for crop insurance
PMKSY-PDMC,PMKSY Per Drop More Crop for micro irrigation
PMKSY-HKKP,PMKSY Har Khet Ko Pani for water to every field
PMKSY-WDC,PMKSY Watershed Development Component for soil conservation
PMKSY-IC,PMKSY Integrated Watershed Management Programme
PMKSY-AIBP,PMKSY Accelerated Irrigation Benefits Programme
PMKSY-PDMC-MI,PMKSY Per Drop More Crop Micro Irrigation
PMKSY-HKKP-GW,PMKSY Har Khet Ko Pani Ground Water
PMKSY-HKKP-SW,PMKSY Har Khet Ko Pani Surface Water
PMKSY-HKKP-RRR,PMKSY Har Khet Ko Pani Repair Renovation and Restoration
PMKSY-HKKP-FMP,PMKSY Har Khet Ko Pani Field Management Programme 